"index","trans_date_trans_time","merchant","category","amt","city","state","lat","long","city_pop","job","dob","trans_num","merch_lat","merch_long","is_fraud"
"0","2019-01-04T00:58:03.000","Stokes, Christiansen and Sipes","grocery_net","14.37","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","a3806e984cec6ac0096d8184c64ad3a1","65.654142","-164.722603","1"
"1","2019-01-04T15:06:38.000","Predovic Inc","shopping_net","966.11","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","a59185fe1b9ccf21323f581d7477573f","65.468863","-165.473127","1"
"2","2019-01-04T22:37:04.000","Wisozk and Sons","misc_pos","49.61","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","86ba3a888b42cd3925881fa34177b4e0","65.347667","-165.914542","1"
"3","2019-01-04T23:06:28.000","Murray-Smitham","grocery_pos","295.26","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","3a068fe1d856f0ecedbed33e4b5f4496","64.445035","-166.080207","1"
"4","2019-01-04T23:59:09.000","Friesen Lt","health_fitness","18.17","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","891cdd1191028759dc20dc224347a0ff","65.447094","-165.446843","1"
"5","2019-01-05T03:15:35.000","Raynor, Reinger and Hagenes","gas_transport","20.45","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","ef010a5f4f570d306a050a368ee2729d","64.088838","-165.104078","1"
"6","2019-01-05T03:21:29.000","Heller-Langosh","gas_transport","18.19","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","8e2d2fae5319d31c887dddbc70627ac4","63.917785","-165.827621","1"
"7","2019-01-05T11:31:23.000","Padberg-Welch","grocery_pos","367.29","Browning","MO","40.029","-93.1607","602","Cytogeneticist","1954-07-14T00:00:00.000","5fbe827807ec9f557f6242bb48db0e51","39.167065","-93.705245","1"
"8","2019-01-05T18:03:18.000","McGlynn-Heathcote","misc_net","768.15","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","fba83e0a3adb530251295ab72a96b719","64.623325","-166.403973","1"
"9","2019-01-05T22:02:34.000","Dooley-Thompson","misc_net","849.49","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","b87c92d4824758e704da572891697fed","65.266065","-164.865352","1"
"10","2019-01-05T22:05:50.000","Gottlieb, Considine and Schultz","shopping_net","1177.79","Browning","MO","40.029","-93.1607","602","Cytogeneticist","1954-07-14T00:00:00.000","f1c51701d8b5dd6ebfe7c1aebf0c4fe7","39.288305","-92.476947","1"
"11","2019-01-05T22:12:25.000","Moen, Reinger and Murphy","grocery_pos","307.09","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","755e4e8350ec4a3e9309727574c97726","64.909145","-164.712087","1"
"12","2019-01-05T22:18:52.000","Hauck, Dietrich and Funk","kids_pets","4.58","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","8fa7880cf01e6adc96e9654d69f3f035","65.052892","-166.067029","1"
"13","2019-01-05T22:32:28.000","Pouros-Haag","shopping_pos","730.78","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","2396a5b8e277a4ce1d4fa939d6e7b19b","65.233866","-166.550779","1"
"14","2019-01-05T22:33:55.000","Goyette Inc","shopping_net","1006.4","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","4d7e567247b6c4529ce4c32c03b2f040","65.220316","-165.005725","1"
"15","2019-01-05T22:38:15.000","Baumbach, Strosin and Nicolas","shopping_pos","830.72","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","773a3305db095657e1860a39dda24cf2","65.710538","-165.986117","1"
"16","2019-01-05T23:17:39.000","Pacocha-O'Reilly","grocery_pos","311.92","Wales","AK","64.7556","-165.6723","145","Administrator, education","1939-11-09T00:00:00.000","191b3dcec7a6a49438be93cfbeaea9c1","64.79501","-165.670735","1"
"17","2019-01-05T23:26:24.000","Barrows PLC","shopping_pos","762.93","Browning","MO","40.029","-93.1607","602","Cytogeneticist","1954-07-14T00:00:00.000","19b126ecf4c79997e9edc6f260c09880","40.205262","-93.499211","1"
"18","2019-01-06T18:39:27.000","Fisher-Schowalte","shopping_net","855.88","Browning","MO","40.029","-93.1607","602","Cytogeneticist","1954-07-14T00:00:00.000","bbae703c3794b7738d08739afbaef898","40.786018","-93.301092","1"
"19","2019-01-06T23:33:57.000","Gleason-Macejkovic","shopping_net","909.29","Browning","MO","40.029","-93.1607","602","Cytogeneticist","1954-07-14T00:00:00.000","b98eb7183ee8a48e83539addc80ea9cc","40.977312","-93.55098","1"
"20","2019-01-12T01:46:26.000","Kutch LLC","gas_transport","7.04","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","436937887b481bbb237956bb4e592193","40.287778","-98.570998","1"
"21","2019-01-12T15:36:46.000","Kihn Inc","shopping_pos","644.4","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","c50735baa9016d1707cd945c5926f687","40.834742","-99.895337","1"
"22","2019-01-12T23:09:14.000","Kris-Weimann","misc_net","784.77","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","5900fb4411f88bda3f613fb8fa20f925","40.341318","-99.045651","1"
"23","2019-01-12T23:57:00.000","Kihn, Abernathy and Douglas","shopping_net","1116.8","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","cad6a618cba464438b5566597933f870","41.192006","-99.230584","1"
"24","2019-01-13T00:14:26.000","Kiehn-Emmerich","grocery_pos","320.6","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","98649f992d93377c62c09e51a1bd2cc9","41.867565","-99.096279","1"
"25","2019-01-13T01:59:04.000","Osinski, Ledner and Leuschke","grocery_pos","276.8","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","a28b688a63d93fb5935d6a3dfb22ecf6","41.700959","-98.207349","1"
"26","2019-01-13T02:16:47.000","Vandervort-Funk","grocery_pos","336.2","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","62e0c792222afcc2ef1644a81ffdeb47","41.965421","-98.334757","1"
"27","2019-01-13T21:10:28.000","Terry-Huel","shopping_net","994.92","San Jose","CA","37.3304","-121.7913","973849","Science writer","1955-06-12T00:00:00.000","a2c0f59146a22479dd65bae74d6d7741","38.075623","-122.14827","1"
"28","2019-01-13T22:01:25.000","Volkman-Predovic","shopping_net","1062.95","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","2182d9659d60dfa68fa1f39baa2fc635","41.942402","-98.005584","1"
"29","2019-01-13T22:17:49.000","Roob, Conn and Tremblay","shopping_pos","770.94","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","0e4cd5fbfa6845c164b8bb7a6b21ab14","41.569284","-98.87645","1"
"30","2019-01-13T23:04:16.000","Tillman, Fritsch and Schmitt","misc_net","816.89","San Jose","CA","37.3304","-121.7913","973849","Science writer","1955-06-12T00:00:00.000","186c2aeb244b826107f83b307233fb08","37.301768","-122.469759","1"
"31","2019-01-13T23:17:38.000","Larson-Moen","entertainment","510.59","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","f1edc60904bafa8aac00a0f5e9026d0c","41.213009","-98.097519","1"
"32","2019-01-13T23:28:38.000","Kutch and Sons","grocery_pos","307.5","San Jose","CA","37.3304","-121.7913","973849","Science writer","1955-06-12T00:00:00.000","9bc5cb494abc3af2b02ca33e0d076f74","37.5925","-122.356511","1"
"33","2019-01-13T23:45:34.000","Parisian, Schiller and Altenwerth","misc_net","790.35","San Jose","CA","37.3304","-121.7913","973849","Science writer","1955-06-12T00:00:00.000","7d7d61dc3b301c78ca3c0cf73e8ed72e","37.033841","-121.371988","1"
"34","2019-01-13T23:57:30.000","Kozey-Boehm","shopping_net","1065.43","Ravenna","NE","41.0233","-98.9041","2202","Solicitor, Scotland","1974-06-21T00:00:00.000","049087fe5d27b77c7238fa46bb18c99d","41.880236","-98.612455","1"
"35","2019-01-14T00:27:32.000","Rau and Sons","grocery_pos","306.81","San Jose","CA","37.3304","-121.7913","973849","Science writer","1955-06-12T00:00:00.000","fdc202f9f1dd556a51775c6d8060c58d","36.502259","-122.323669","1"
"36","2019-01-14T00:37:01.000","Parisian and Sons","gas_transport","12.57","San Jose","CA","37.3304","-121.7913","973849","Science writer","1955-06-12T00:00:00.000","dec7f564c518a3f5878016461d766ffa","36.860137","-122.217748","1"
"37","2019-01-14T00:46:52.000","O'Keefe-Hudson","grocery_pos","324.87","Westerville","NE","41.4193","-99.3844","73","Product designer","1935-02-10T00:00:00.000","329a58f59d039370f0af17bbcafc2bc3","41.603137","-99.129649","1"
"38","2019-01-14T01:41:08.000","Cassin-Harvey","grocery_net","16.44","Westerville","NE","41.4193","-99.3844","73","Product designer","1935-02-10T00:00:00.000","82a79798b2e4c690d1e3c9526e8ae0ed","40.869894","-99.153196","1"
"39","2019-01-14T01:42:55.000","Schumm, Bauch and Ondrick","grocery_pos","277.53","San Jose","CA","37.3304","-121.7913","973849","Science writer","1955-06-12T00:00:00.000","9f720ebc9d1f437c787a4d80479c67fa","36.59875","-121.383937","1"
